,name,title,currency,lower_estimate,upper_estimate,actual_price
1080,Circle of Thomas de Keyser,"PORTRAIT OF A GENTLEMAN, POSSIBLY NICHOLAS EDGAR, ELDEST SON OF THOMAS EDGAR OF GLENHAM MAGNA",USD,"8,000","12,000",10625
1082,Hendrick Bloemaert,"PROFILE OF A MAN IN A FUR HAT, READING",USD,"25,000","35,000",0
1084,Ludolf Backhuysen,VIEW FROM THE NIEUWE MAAS RIVER TOWARDS THE CITY OF VLAARDINGEN,USD,"100,000","150,000",112500
1086,Nicolaes Maes,"PORTRAIT OF A MAN, THREE-QUARTER-LENGTH, IN A PURPLE COAT WITH A LACE CRAVAT, HIS RIGHT HAND RESTING ON A PLINTH, AN EVENING LANDSCAPE BEYOND",USD,"10,000","15,000",9375
1088,Attributed to Johann Georg Platzer,AN EMPEROR DISTRIBUTING CAKES IN A TOWN SQUARE,USD,"25,000","35,000",0
1090,Frans Ykens,"STILL LIFE WITH SHRIMP, RAMPS, FLOWERS AND A GLASS VASE",USD,"20,000","30,000",25000
1092,Follower of Frans Pourbus the Younger,PORTRAIT OF ANNE OF AUSTRIA,USD,"6,000","8,000",11250
1094,"Gottfried Wals, called Goffredo Tedesco",AN ITALIANATE RIVER LANDSCAPE WITH SHEPHERDS WATERING THEIR FLOCK BENEATH A RUIN,USD,"80,000","120,000",0
1096,Pieter Casteels III,A FAMILY OF CHICKENS FENDING OFF A SPANIEL IN A LANDSCAPE,USD,"30,000","50,000",0
1098,Louis-Jean-François Lagrenée,DAVID AND BATHSHEBA,USD,"20,000","30,000",28125
1100,"Follower of Domenikos Theotocopoulos, called El Greco",SAINT FRANCIS OF ASSISI,USD,"12,000","16,000",68750
1102,Luis de Morales and Workshop,PIETÀ,USD,"30,000","50,000",0
1104,Attributed to Sebastián de Herrera Barnuevo,PORTRAIT OF CARLOS II AS A CHILD,USD,"50,000","70,000",0
1106,"Studio of Domenikos Theotokopoulos, called El Greco",SAINT LUKE,USD,"40,000","60,000",93750
1108,Carlo Innocenzo Carlone,THE SACRIFICE OF IPHIGENIA,USD,"15,000","20,000",0
1110,"Venetian School, 18th Century",A PROCESSION THROUGH A TOWN SQUARE WITH FIGURES DRESSED IN COMMEDIA DELL'ARTE COSTUMES,USD,"12,000","16,000",28125
1112,Attributed to Francesco Guardi,"VENICE, A VIEW OF THE RIALTO BRIDGE WITH THE PALAZZO DEI CAMERLENGHI",USD,"100,000","150,000",125000
1114,Jens Juel,VIEW OF GAMBORG ON FYN,USD,"30,000","40,000",31250
1116,André-Jean-Antoine Despois,"VIEW OF THE ÎLE BARBE, LYON",USD,"20,000","30,000",33750
1118,Charles-Louis Clérisseau,ANCIENT GATE AT CUMAE NEAR NAPLES; GROTTO OF EGERIA ON THE VIA APPIA,USD,"20,000","30,000",20000
1120,Attributed to Hubert Robert,A GRAND STAIRCASE IN A PARK SETTING,USD,"40,000","60,000",0
1122,Hubert Robert,AN ELEGANT COMPANY ARRIVING AT A RIVER BELVEDERE; AN ELEGANT COMPANY EMBARKING ON A PLEASURE BOAT FROM THE STEPS OF A CLASSICAL PALACE,USD,"150,000","200,000",245000
1124,Jean-Baptiste Monnoyer,"STILL LIFE OF FLOWERS, INCLUDING TULIPS, ROSES, POPPIES AND VIBURNUM IN A SCULPTED URN, RESTING ON A STONE PLINTH",USD,"30,000","50,000",56250
1126,Piat-Joseph Sauvage,PUTTI PLAYING WITH A GARLAND OF FLOWERS: A TROMPE-L'OEIL OF A BRONZE BAS-RELIEF,USD,"20,000","30,000",18750
1128,Jean-Baptiste-Marie Pierre,THE RAPE OF EUROPA,USD,"40,000","60,000",0
1130,Circle of Antoine Watteau,RUSTIC FESTIVAL IN A ROCKY WOODED LANDSCAPE,USD,"40,000","60,000",20000
1132,Hubert Robert,THE TOMB OF JEAN JACQUES ROUSSEAU AT ERMENONVILLE,USD,"35,000","45,000",37500
1134,Hubert Robert,THE DISTRIBUTION OF MILK AT SAINT-LAZARE PRISON,USD,"80,000","120,000",275000
1136,François Boucher,THE LITTLE GARDENER; THE LITTLE SHEPHERDESS,USD,"100,000","150,000",245000
1138,François Boucher,THE NATIVITY WITH A HOVERING ANGEL,USD,"120,000","150,000",173000
1140,"Antoine-Charles-Horace Vernet, called Carle Vernet",AN EQUESTRIAN PORTRAIT OF NAPOLEON WITH A BATTLE BEYOND,USD,"100,000","150,000",0
1142,"François Pascal Simon Gérard, called Baron Gérard","""CORINNE AU CAP MISÈNE""",USD,"30,000","50,000",59375
1144,Marguerite Gérard,A FAMILY IN AN INTERIOR PLAYING WITH A DOG,USD,"60,000","80,000",0
1146,Attributed to Johann Zoffany R.A. and Studio,PORTRAIT OF MR. AND MRS. JAMES BLEW AND THEIR THREE CHILDREN IN AN ELEGANT INTERIOR,USD,"30,000","40,000",0
1148,"Attributed to Sir John Watson Gordon R.A., P.R.S.A.","PORTRAIT OF A YOUNG MAN, SAID TO BE A MEMBER OF THE FORBES FAMILY",USD,"15,000","20,000",15000
1150,Circle of Sir Anthony van Dyck,"PORTRAIT OF BEATRICE DE CUSANCE, PRINCESS OF CANTECROIX AND DUCHESS OF LORRAINE",USD,"10,000","15,000",10000
1152,"Sir Henry Raeburn, R.A.","PORTRAIT OF LADY NASMYTH, IN A WHITE DRESS AND BROWN SHAWL, SEATED AT A TABLE, HOLDING A BOOK",USD,"15,000","20,000",0
1154,Thomas Gainsborough R.A.,PORTRAIT OF LADY FLUDYER,USD,"30,000","50,000",37500
1156,"Sir Joshua Reynolds, P.R.A.",PORTRAIT OF MISS ANNE MEAD,USD,"6,000","8,000",25000
1158,Attributed to François Hubert Drouais,"PORTRAIT OF A YOUNG LADY, IN A BLUE SILK DRESS WITH FUR TRIM AND MUFF",USD,"5,000","7,000",10625
1160,Studio of Pierre Mignard,PORTRAIT OF A LADY,USD,"20,000","30,000",0
1162,Hans Bollongier,TULIPS AND OTHER FLOWERS IN A GLASS VASS,USD,"15,000","20,000",15000
1164,David de Coninck,ROOSTERS AND A RABBIT IN A LANDSCAPE,USD,"4,000","6,000",10000
1166,Cornelis Verbeeck,SHIPWRECK ON A ROCKY COAST,USD,"10,000","15,000",4375
1168,Follower of Alonso Sánchez Coello,"PORTRAIT OF A BOY, HEAD AND SHOULDERS",USD,"8,000","10,000",0
1170,Cornelis Janssens van Ceulen,PORTRAIT OF A LADY,USD,"5,000","7,000",0
1172,Follower of Christian Willem Ernst Dietrich called Dietrichy,"PORTRAIT OF A BEARDED MAN, HEAD AND SHOULDERS, IN A CAP AND FUR TRIMMED CLOAK",USD,"5,000","7,000",0
1174,Circle of Corrado Giaquinto,THE ARCHANGEL WITH SAINTS,USD,"7,000","9,000",10625
1176,"French school, 18th century",THE APPEARANCE OF ZEUS,USD,"15,000","20,000",185000
1178,Follower of Simon Vouet,HOLY FAMILY,USD,"7,000","10,000",3438
1180,Studio of Francesco Solimena,THE EDUCATION OF THE VIRGIN,USD,"5,000","7,000",0
1182,Ferdinand Voet and Studio,"PORTRAIT OF ISABELLA STROZZI COSTAGUTI, HALF LENGTH, IN A GOLD DRESS AND PEARLS",USD,"7,000","9,000",0
1184,"Roman School, 18th Century",SAINT ALOYSIUS GONZAGA,USD,"8,000","12,000",4688
1186,Attributed to Francesco Furini,NARCISSUS,USD,"6,000","8,000",8125
1188,Attributed to Jacob Bouttats,WOODED LANDSCAPE WITH VARIOUS ANIMALS,USD,"10,000","15,000",10000
1190,Jacques Antoine Vallin,BACCHANTE,USD,"5,000","7,000",1500
1192,"Italian School, circa 1690","PORTRAIT OF A LADY, HALF LENGTH, IN A MANTUA GOWN AND LACE FRELANGE HEADDRESS",USD,"8,000","10,000",0
1194,"North German School, 1589",PORTRAIT OF A LADY,USD,"7,000","9,000",6250
1196,Max Ernst,CONFIGURATION,GBP,"30,000","40,000",74500
1198,August Macke,ABSTRAKTE FORMEN XIV (ABSTRACT FORMS XIV),GBP,"4,000","5,000",18125
1200,Franz Marc,ABSTRAKTES AQUARELL I (ABSTRACT WATERCOLOUR I),GBP,"7,000","10,000",40000
1202,Paul Klee,HÄUSER AM PARK (HOUSES BY THE PARK),GBP,"50,000","70,000",152500
1204,Joan Miró,PROJET DE SCÈNE POUR LE BALLET 'ROMÉO ET JULIETTE',GBP,"50,000","70,000",176500
1206,Pablo Picasso,NU ASSIS,GBP,"35,000","50,000",134500
1208,Pablo Picasso,PORTRAIT DE FEMME DE PROFIL,GBP,"18,000","30,000",41250
1210,Henri Matisse,PORTRAIT DE GRETA PROZOR,GBP,"25,000","35,000",27500
1212,Henri Matisse,"TÊTE PENCHÉE, NŒUD DRAPÉ DEVANT L'ÉPAULE",GBP,"50,000","70,000",110500
1214,Henri Matisse,NU COUCHÉ À LA CHEMISE,GBP,"120,000","180,000",100900
1216,Joan Miró,SIGNES ET FIGURATIONS - RECTO,GBP,"90,000","120,000",0
1218,Jean Arp,CONSTELLATION,GBP,"60,000","80,000",0
1220,Fernand Léger,COMPOSITION,GBP,"120,000","180,000",116500
1222,Pablo Picasso,TÊTE D´HOMME,GBP,"120,000","180,000",194500
1224,Henry Moore,HEAD: LINES,GBP,"50,000","70,000",92500
1226,Pablo Picasso,BOUQUET DANS UN VASE,GBP,"300,000","500,000",326500
1228,Maurice de Vlaminck,LES BATEAUX À VOILE À POISSY,GBP,"220,000","280,000",386500
1230,Alfred Kubin,CARNEVAL (CARNIVAL),GBP,"10,000","15,000",37500
1232,Alfred Kubin,DER BUDDHA (THE BUDDHA),GBP,"8,000","12,000",170500
1234,Alfred Kubin,GRAB AUF JAVA (TOMB IN JAVA),GBP,"1,000","2,000",6875
1236,Alfred Kubin,MORGENLICHT (MORNING LIGHT),GBP,800,"1,200",2500
1238,Christian Rohlfs,"MÄNNLICHER RÜCKENAKT (MALE NUDE, BACK VIEW)",GBP,"30,000","40,000",0
1240,Emil Nolde,JUNGE FRAU MIT GELBER STOLA UND ROTEN BLÜTEN (YOUNG WOMAN WITH A YELLOW STOLE AND RED FLOWERS),GBP,"20,000","30,000",38750
1242,Emil Nolde,WEISSE LILIEN UND DAHLIEN (WHITE LILIES AND DAHLIAS),GBP,"50,000","70,000",74500
1244,Egon Schiele,KNIENDER WEIBLICHER AKT (CROUCHING FEMALE NUDE),GBP,"60,000","80,000",212500
1246,Alexej von Jawlensky,MÄDCHENKOPF - DIE ASIATIN (HEAD OF GIRL – THE ASIAN),GBP,"250,000","350,000",458500
1248,Gustav Klimt,MÄDCHENBRUSTBILD VON VORNE MIT HÄUBCHEN (PORTRAIT OF A GIRL WITH A HAT),GBP,"70,000","100,000",158500
1250,Egon Schiele,FRIEDERIKE MARIA BEER,GBP,"250,000","350,000",302500
1252,Emil Nolde,DSCHUNKEN VOR HONG KONG (CHINESE JUNK BOATS IN HONG KONG),GBP,"40,000","60,000",0
1254,Max Pechstein,KIND AUF DORFSTRASSE (CHILD ON A VILLAGE STREET),GBP,"300,000","400,000",434500
1256,Ernst Barlach,DER RÄCHER (THE AVENGER),GBP,"120,000","180,000",0
1258,Max Liebermann,ENKELIN UND KINDERFRAU BEIM SPIEL IM GARTEN (THE ARTIST'S GRANDDAUGHTER AND HER NURSE PLAYING IN THE GARDEN),GBP,"100,000","150,000",110500
1260,Edgar Degas,JOCKEY,GBP,"70,000","100,000",266500
1262,Edgar Degas,DEUX ÉTUDES DE CAVALIER,GBP,"20,000","30,000",57500
1264,Edgar Degas,JOCKEY BLESSÉ,GBP,"40,000","60,000",45000
1266,Paul Gauguin,CHARETTE DE VARECH - RECTO PAYSAGE BRETON - VERSO,GBP,"15,000","20,000",33750
1268,Pierre-Auguste Renoir,PAYSAGE DU MIDI,GBP,"30,000","40,000",74500
1270,Pierre-Auguste Renoir,PAYSAGE À CAGNES,GBP,"25,000","35,000",0
1272,Eugène Boudin,TROUVILLE. LA JETÉE MARÉE BASSE,GBP,"25,000","35,000",62500
1274,Eugène Boudin,ENVIRONS DE PORTRIEUX,GBP,"100,000","150,000",170500
1276,Pierre-Auguste Renoir,POIRES ET POMMES,GBP,"400,000","600,000",506500
1278,Edouard Vuillard,THÉRÈSE DORNY,GBP,"60,000","80,000",68500
1280,Berthe Morisot,JEUNE FILLE REMETTANT SON PATIN,GBP,"35,000","45,000",74500
1282,Edgar Degas,FEMME DEBOUT,GBP,"180,000","250,000",290500
1284,Pierre-Auguste Renoir,PORTRAIT DE PIERRE RENOIR,GBP,"350,000","500,000",0
1286,Edgar Degas,"DANSEUSE, LES BRAS LEVÉS",GBP,"40,000","60,000",0
1288,Edgar Degas,DEUX DANSEUSES EN MAILLOT,GBP,"50,000","70,000",0
1290,Pierre-Auguste Renoir,VASE DE FLEURS,GBP,"320,000","420,000",530500
1292,Auguste Rodin,"L'HOMME AU NEZ CASSÉ, VERSION DITE TYPE II, DEUXIÈME MODÈLE",GBP,"60,000","80,000",0
1294,Auguste Rodin,MAIN DROITE N°27,GBP,"15,000","20,000",43750
1296,Auguste Rodin,"ESQUISSE POUR LES BÉNÉDICTIONS - MODÈLE POUR LE SOMMET DE LA ""TOUR DU TRAVAIL""",GBP,"20,000","30,000",0
1298,Edgar Degas,FEMME SE LAVANT LA JAMBE GAUCHE (DEUXIÈME ÉTUDE),GBP,"80,000","120,000",122500
1300,Camille Claudel,L'IMPLORANTE (PETIT MODÈLE),GBP,"120,000","180,000",0
1302,Odilon Redon,BOUQUET AU PETIT VASE BLEU,GBP,"300,000","500,000",0
1304,Henri Martin,SAINT-CIRQ LAPOPIE,GBP,"40,000","60,000",47500
1306,Henri Martin,LA PERGOLA,GBP,"50,000","70,000",92500
1308,Théo van Rysselberghe,FEMME AU MIROIR,GBP,"180,000","250,000",0
1310,Auguste Herbin,CRUE DE SEINE,GBP,"25,000","35,000",33750
1312,Paul Signac,"BATEAUX DE PÊCHE, LE MALO",GBP,"12,000","18,000",27500
1314,Henri Martin,"AMOUREUX AU PRINTEMPS, VERSION AVEC CADRE FLEURI",GBP,"120,000","180,000",0
1316,Pierre Bonnard,FEMME AU PEIGNOIR DANS UN HAMAC,GBP,"80,000","120,000",0
1318,Raoul Dufy,LA PROMENADE,GBP,"280,000","350,000",326500
1320,Henri Lebasque,FEMME À LA GUITARE (NONO),GBP,"60,000","80,000",0
1322,Armand Guillaumin,"LA VALLÉE DE LA SÉDELLE, CROZANT",GBP,"20,000","30,000",25000
1324,Henri Lebasque,MADAME LEBASQUE LISANT,GBP,"35,000","45,000",43750
1326,Louis Valtat,VASE DE FLEURS,GBP,"15,000","20,000",25000
1328,Louis Valtat,POT DE CYCLAMEN,GBP,"15,000","20,000",16250
1330,Marc Chagall,LES TULIPES MAUVES,GBP,"350,000","450,000",638500
1332,Pierre Bonnard,LA LECTURE,GBP,"120,000","180,000",254500
1334,Kees van Dongen,LES ÉLEGANTES À DEAUVILLE,GBP,"40,000","60,000",50000
1336,Léon Spilliaert,MARINE AVEC BATEAUX À VOILES,GBP,"50,000","70,000",86500
1338,Kees van Dongen,LA PLAGE À DEAUVILLE,GBP,"400,000","600,000",458500
1340,Raoul Dufy,CASINO DE NICE,GBP,"100,000","150,000",0
1342,Théo van Rysselberghe,L'ARC-EN-CIEL À VEERE,GBP,"200,000","300,000",362500
1344,Léon de Smet,"HYDE PARK, LONDON",GBP,"70,000","90,000",100900
1346,Claude-Emile Schuffeneker,UNE VUE DES FALAISES À ETRETAT,GBP,"70,000","90,000",108100
1348,James Ensor,LES GILLETTES,GBP,"70,000","90,000",110500
1350,Kees van Dongen,PORTRAIT DE MADAME DESJARDINS,GBP,"350,000","450,000",0
1352,Massimo Campigli,DONNA CON LA COLLANA (WOMAN WITH NECKLACE) ,GBP,"35,000","45,000",0
1354,Moïse Kisling,PORTRAIT D'UN JEUNE GARÇON,GBP,"20,000","30,000",27500
1356,Georges Rouault,FIER À BRAS,GBP,"30,000","40,000",0
1358,Georges Rouault,AU VIEUX FAUBOURG DES LONGUES PEINES,GBP,"40,000","60,000",84100
1360,Maurice Utrillo,LES TROIS MOULINS À MONTMARTRE,GBP,"120,000","180,000",0
1362,Tsuguharu Foujita,PORTRAIT DE SYLVAINE,GBP,"25,000","35,000",37500
1364,Tsuguharu Foujita,PAYSAGE AVEC CAFÉ,GBP,"25,000","35,000",0
1366,Tsuguharu Foujita,PAYSAGE AVEC BALLON,GBP,"25,000","35,000",0
1368,Tsuguharu Foujita,PORTRAIT 'DE SA POUSQUETTE' (SYLVAINE ROUY NEVES),GBP,"20,000","30,000",0
1370,Tsuguharu Foujita,PORTRAIT D'ODETTE,GBP,"7,000","10,000",13750
1372,Tsuguharu Foujita,L'ÉCOLE MATERNELLE,GBP,"50,000","70,000",92500
1374,Tamara de Lempicka,INDIEN À TURBAN ,GBP,"40,000","60,000",50000
1376,Tamara de Lempicka,LA VEUVE,GBP,"70,000","90,000",134500
1378,Maurice Utrillo,ÉGLISE DE BESSINES-SUR-GARTEMPES,GBP,"30,000","40,000",31250
1380,Maurice de Vlaminck,RUE DE VILLAGE,GBP,"40,000","60,000",52500
1382,Bernard Buffet,TÊTE DE FEMME                                                            ,GBP,"15,000","20,000",30000
1384,Bernard Buffet,GARE DE NEUIL,GBP,"60,000","80,000",62500
1386,Giacomo Manzù,CARDINALE SEDUTO (SEATED CARDINAL),GBP,"160,000","220,000",0
1388,Antonio Zoran Music,NUDO CHE SI ALLONTANA (NUDE WALKING AWAY),GBP,"60,000","80,000",0
1390,Giorgio de Chirico,CAVALIERE CADUTO (FALLEN RIDER),GBP,"80,000","120,000",122500
1392,Giorgio Morandi,PAESAGGIO (LANDSCAPE),GBP,"100,000","150,000",0
1394,Mario Sironi,STUDIO DI FIGURA (STUDY FOR A FIGURE),GBP,"5,000","7,000",0
1396,Enrico Prampolini,ORGANISMI COSMICI (COSMIC ORGANISMS),GBP,"18,000","25,000",0
1398,Roberto Marcello Baldessari,NARNI,GBP,"15,000","20,000",0
1400,Giacomo Balla,LINEA DI VELOCITÀ (LINE OF SPEED),GBP,"25,000","35,000",31250
1402,Giacomo Balla,LINEE FORZA DI PAESAGGIO (LANDSCAPE FORCE LINES),GBP,"80,000","120,000",104500
1404,Barbara Hepworth,"CURVED FORMS (PAVAN), VERSION 2",GBP,"100,000","150,000",218500
1406,Barbara Hepworth,TWO FORMS (DOMINO),GBP,"30,000","50,000",37500
1408,Barbara Hepworth,SQUARES (JUNE),GBP,"30,000","50,000",68500
1410,Henry Moore,TREES AGAINST HORIZON: AUTUMN STORM,GBP,"12,000","18,000",0
1412,Henry Moore,THIN STANDING FIGURE,GBP,"12,000","18,000",26250
1414,Henry Moore,IDEAS FOR WOOD CARVING: THREE RECLINING FIGURES,GBP,"70,000","90,000",86500
1416,Ben Nicholson,1971 (OBIDOS 2) (PORTUGAL),GBP,"350,000","500,000",422500
1418,Henry Moore,STANDING FEMALE FIGURE,GBP,"10,000","15,000",15000
1420,Henry Moore,FEMALE NUDE/SEATED FIGURE,GBP,"12,000","18,000",15000
1422,Henry Moore,THREE WOMEN WINDING WOOL (THE THREE FATES),GBP,"150,000","250,000",146500
1424,Henry Moore,SEVENTEEN RECLINING FIGURES,GBP,"30,000","40,000",0
1426,Barbara Hepworth,SINGLE FORM (SUN AND MOON),GBP,"50,000","70,000",84100
1428,Salvador Dalí,LES ROCHERS DE L'IMAGINATION,GBP,"20,000","30,000",0
1430,"Salvador Dalí, Valentine Hugo, Gala Eluard & André Breton","CADAVRE EXQUIS, CONSÉQUENCE DE HAUT EN BAS",GBP,"20,000","30,000",28750
1432,Salvador Dalí,LIDIA ET LORCA VEILLENT SUR PORT LLIGAT,GBP,"12,000","18,000",0
1434,Salvador Dalí,ÉTUDE POUR LE PROJET 'LA JOCONDE MITSUKOSHI',GBP,"25,000","35,000",0
1436,Salvador Dalí,GALA AUX GRENADES,GBP,"12,000","18,000",12500
1438,Salvador Dalí,LE CRÂNE DU CAP DE CREUS,GBP,"12,000","15,000",0
1440,Salvador Dalí,NU FÉMININ (RECONSTITUTION),GBP,"80,000","120,000",0
1442,Salvador Dalí,LES MOUCHES CORPUSCULAIRES DU BOULOU,GBP,"10,000","15,000",0
1444,Salvador Dalí,"PREMIER ESSAI DE MAISON STÉRÉOSCOPIQUE, PROJET DE COUVERTURE POUR LA REVUE LE SAUVAGE",GBP,"25,000","35,000",27500
1446,Salvador Dalí,"I.LAMPADAIRE AUX BÉQUILLES (DESSIN POUR LA DÉCORATION) - RECTO   LAMPE AUX LÈVRES (DESSIN POUR LA DÉCORATION) - VERSO  II.DESSIN POUR LA MODE ET LA DÉCORATION, CHAPEAU-SOULIER (SCHIAPARELLI) - RECTO   LAMPE AUX TIROIRS - VERSO",GBP,"3,000","5,000",8750
1448,Salvador Dalí,HORLOGE HYPNAGOGIQUE,GBP,"1,500","2,000",0
1450,Salvador Dalí,ÉTUDE POUR 'DALÍ SOULEVANT LA PEAU DE LA MÉDITERRANÉE POUR MONTRER À GALA LA NAISSANCE DE VÉNUS',GBP,"30,000","40,000",0
1452,Salvador Dalí,CASTOR ET POLLUX,GBP,"30,000","40,000",0
1454,Salvador Dalí,VIVE PICASSO,GBP,"50,000","70,000",0
1456,Baltasar Lobo,PENSIVE À GENOUX,GBP,"7,000","9,000",13125
1458,Francis Picabia,ESPAGNOLE,GBP,"25,000","35,000",0
1460,Jean Arp,DÉMARCHE DECIDÉE,GBP,"25,000","35,000",0
1462,Hans Bellmer,TALON AIGUILLE,GBP,"40,000","60,000",134500
1464,Yves Tanguy,TITRE INCONNU,GBP,"60,000","90,000",88900
1466,Jean Arp,SCRUTANT L'HORIZON,GBP,"140,000","180,000",0
1468,Joan Miró,DRAWING FOR 'UBU ROI',GBP,"25,000","35,000",50000
1470,Joan Miró,PAINTING-OBJECT,GBP,"60,000","80,000",116500
1472,Max Ernst,L'HOMME ET LA FEMME,GBP,"200,000","300,000",0
1474,Francis Picabia,MON ATMOSPHÈRE,GBP,"80,000","120,000",92500
1476,Man Ray,PROVERB,GBP,"6,000","8,000",8750
1478,Man Ray,NON-EUCLIDEAN OBJECT I,GBP,"12,000","18,000",30000
1480,Salvador Dalí,RÉTROSPECTIVE UTILISATION OF ARANARIUM,GBP,"70,000","90,000",0
1482,Salvador Dalí,"SANS TITRE, HOMMAGE À ALBERT DÜRER",GBP,"20,000","30,000",0
1484,Salvador Dalí,"LE DÎNER, ""VOUZ VOULEZ QUE JE VOUS PARLE DE CE DÎNER?""",GBP,"20,000","30,000",0
1486,Oscar Dominguez,COMPOSITION,GBP,"20,000","30,000",18750
1488,André Masson,RENCONTRE HÉRALDIQUE,GBP,"8,000","12,000",21250
1490,Hans Bellmer,HAT MADE OF GIRLS,GBP,"8,000","12,000",16250
1492,Hans Bellmer,OLD WOMAN,GBP,"6,000","8,000",12500
1494,Salvador Dalí,"GAUDRIOLE ACUDIT, PERSONNAGE BURLESQUE DEBOUT SUR UNE CHAISE",GBP,"15,000","20,000",18750
1496,Salvador Dalí,MARAGALL,GBP,"50,000","70,000",84100
1498,Salvador Dalí,LE CABINET ANTHROPOMORPHIQUE,GBP,"10,000","15,000",19375
1500,Paul Delvaux,DEUX FIGURES,GBP,"10,000","15,000",11875
1502,Baltasar Lobo,JEUNE FILLE,GBP,"50,000","70,000",0
1504,Max Ernst,CONFIGURATION NO. 10,GBP,"5,000","7,000",8750
1506,Baltasar Lobo,SUR LA PLAGE,GBP,"40,000","60,000",50000
1508,André Masson,LA BEAUTÉ GÉOMÉTRIQUE (IV DE 3 ANATOMIE DE MON UNIVERS),GBP,"6,000","9,000",12500
1510,Salvador Dalí,"COUPLE ÉROTIQUE, ON THE FRONTISPIECE OF LES MÉTAMORPHOSES ÉROTIQUES",GBP,"8,000","12,000",9375
1512,Paul Delvaux,LE PLAISIR D'IMAGINER,GBP,"12,000","18,000",15000
1514,Christian Zervos,PABLO PICASSO CATALOGUE ,GBP,"25,000","35,000",0
